index,Month,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979
2430,JUN,2355,5114,4119,5627,6510,7392,8274,9157,10039,10922,11803,12686,13568,14451,15333,16214,17097,17980,18862,19745,20627,21509
2431,JUL,2357,5120,4124,5633,6516,7400,8282,9166,10049,10933,11816,12699,13582,14466,15349,16231,17115,17999,18882,19766,20648,21532
2432,AUG,2359,5125,4128,5639,6523,7408,8291,9176,10060,10944,11828,12713,13597,14481,15365,16248,17133,18018,18902,19787,20670,21555
2433,SEP,2362,5130,4132,5645,6530,7415,8299,9185,10070,10956,11840,12726,13611,14497,15381,16265,17151,18037,18921,19808,20692,21577
2434,OCT,2364,5135,4136,5650,6536,7423,8308,9195,10080,10967,11853,12739,13625,14512,15397,16282,17169,18056,18941,19828,20714,21600
2435,NOV,2366,5141,4140,5656,6543,7431,8317,9204,10091,10978,11865,12752,13639,14527,15413,16299,17187,18074,18961,19849,20735,21623
2436,DEC,2368,5146,4144,5662,6550,7438,8325,9214,10101,10990,11877,12766,13653,14542,15430,16316,17204,18093,18981,19870,20757,21645
2437,JAN,2371,5151,4148,5668,6557,7446,8334,9223,10112,11001,11890,12779,13668,14557,15446,16333,17222,18112,19001,19891,20779,21668
2438,FEB,2373,5157,4152,5673,6563,7453,8342,9233,10122,11013,11902,12792,13682,14572,15462,16350,17240,18131,19021,19912,20801,21691
2439,MAR,2375,5162,4156,5679,6570,7461,8351,9242,10133,11024,11914,12805,13696,14588,15478,16367,17258,18150,19041,19932,20822,21713
2440,APR,2377,5167,4160,5685,6577,7469,8359,9252,10143,11035,11927,12819,13710,14603,15494,16384,17276,18169,19060,19953,20844,21736
2441,MAY,2379,5172,4165,5691,6583,7476,8368,9261,10154,11047,11939,12832,13725,14618,15510,16401,17294,18188,19080,19974,20866,21759
2442,JUN,2382,5178,4169,5696,6590,7484,8377,9271,10164,11058,11951,12845,13739,14633,15526,16418,17312,18207,19100,19995,20887,21781
2443,JUL,2384,5183,4173,5702,6597,7492,8385,9280,10175,11070,11964,12859,13753,14648,15542,16435,17330,18226,19120,20016,20909,21804
2444,AUG,2386,5188,4177,5708,6603,7499,8394,9290,10185,11081,11976,12872,13767,14663,15558,16453,17348,18245,19140,20036,20931,21827
2445,SEP,2388,5194,4181,5714,6610,7507,8402,9299,10195,11092,11988,12885,13781,14678,15574,16470,17366,18264,19160,20057,20953,21849
2446,OCT,2391,5199,4185,5719,6617,7515,8411,9309,10206,11104,12001,12898,13796,14694,15591,16487,17384,18283,19180,20078,20974,21872
2447,NOV,2393,5204,4189,5725,6623,7522,8419,9318,10216,11115,12013,12912,13810,14709,15607,16504,17402,18301,19199,20099,20996,21895
2448,DEC,2395,5209,4193,5731,6630,7530,8428,9328,10227,11127,12025,12925,13824,14724,15623,16521,17420,18320,19219,20120,21018,21917
2449,JAN,2397,5215,4197,5737,6637,7537,8437,9337,10237,11138,12038,12938,13838,14739,15639,16538,17438,18339,19239,20140,21040,21940
2450,FEB,2399,5220,4202,5742,6644,7545,8445,9347,10248,11149,12050,12951,13852,14754,15655,16555,17456,18358,19259,20161,21061,21963
2451,MAR,2402,5225,4206,5748,6650,7553,8454,9356,10258,11161,12062,12965,13867,14769,15671,16572,17474,18377,19279,20182,21083,21985
2452,APR,2404,5230,4210,5754,6657,7560,8462,9366,10269,11172,12075,12978,13881,14785,15687,16589,17492,18396,19299,20203,21105,22008
2453,MAY,2406,5236,4214,5760,6664,7568,8471,9375,10279,11184,12087,12991,13895,14800,15703,16606,17510,18415,19319,20224,21127,22031
2454,JUN,2408,5241,4218,5765,6670,7576,8479,9385,10290,11195,12099,13005,13909,14815,15719,16623,17528,18434,19338,20244,21148,22054
2455,JUL,2411,5246,4222,5771,6677,7583,8488,9394,10300,11206,12112,13018,13924,14830,15735,16640,17546,18453,19358,20265,21170,22076
2456,AUG,2413,5252,4226,5777,6684,7591,8497,9404,10310,11218,12124,13031,13938,14845,15752,16657,17564,18472,19378,20286,21192,22099
2457,SEP,2415,5257,4230,5783,6690,7598,8505,9413,10321,11229,12136,13044,13952,14860,15768,16674,17582,18491,19398,20307,21214,22122
2458,OCT,2417,5262,4234,5788,6697,7606,8514,9423,10331,11241,12149,13058,13966,14876,15784,16691,17600,18510,19418,20328,21235,22144
2459,NOV,2419,5267,4238,5794,6704,7614,8522,9433,10342,11252,12161,13071,13980,14891,15800,16708,17618,18529,19438,20348,21257,22167
2460,DEC,2422,5273,4243,5800,6710,7621,8531,9442,10352,11263,12173,13084,13995,14906,15816,16725,17636,18547,19458,20369,21279,22190
2461,JAN,2424,5278,4247,5806,6717,7629,8539,9452,10363,11275,12186,13098,14009,14921,15832,16742,17654,18566,19477,20390,21301,22212
2462,FEB,2426,5283,4251,5811,6724,7637,8548,9461,10373,11286,12198,13111,14023,14936,15848,16759,17672,18585,19497,20411,21322,22235
2463,MAR,2428,5289,4255,5817,6731,7644,8557,9471,10384,11298,12210,13124,14037,14951,15864,16776,17690,18604,19517,20432,21344,22258
2464,APR,2431,5294,4259,5823,6737,7652,8565,9480,10394,11309,12223,13137,14051,14966,15880,16793,17708,18623,19537,20452,21366,22280
2465,MAY,2433,5299,4263,5829,6744,7660,8574,9490,10405,11320,12235,13151,14066,14982,15896,16810,17726,18642,19557,20473,21388,22303
2466,JUN,2435,5304,4267,5834,6751,7667,8582,9499,10415,11332,12247,13164,14080,14997,15912,16827,17744,18661,19577,20494,21409,22326
2467,JUL,2437,5310,4271,5840,6757,7675,8591,9509,10425,11343,12260,13177,14094,15012,15929,16844,17762,18680,19597,20515,21431,22348
2468,AUG,2439,5315,4275,5846,6764,7682,8599,9518,10436,11354,12272,13190,14108,15027,15945,16861,17780,18699,19616,20536,21453,22371
2469,SEP,2442,5320,4280,5852,6771,7690,8608,9528,10446,11366,12284,13204,14123,15042,15961,16878,17798,18718,19636,20556,21474,22394
2470,OCT,2444,5326,4284,5857,6777,7698,8617,9537,10457,11377,12297,13217,14137,15057,15977,16895,17816,18737,19656,20577,21496,22416
2471,NOV,2446,5331,4288,5863,6784,7705,8625,9547,10467,11389,12309,13230,14151,15073,15993,16912,17834,18756,19676,20598,21518,22439
2472,DEC,2448,5336,4292,5869,6791,7713,8634,9556,10478,11400,12321,13244,14165,15088,16009,16930,17852,18774,19696,20619,21540,22462
2473,JAN,2451,5341,4296,5875,6797,7721,8642,9566,10488,11411,12334,13257,14179,15103,16025,16947,17870,18793,19716,20640,21561,22484
2474,FEB,2453,5347,4300,5880,6804,7728,8651,9575,10499,11423,12346,13270,14194,15118,16041,16964,17888,18812,19736,20660,21583,22507
2475,MAR,2455,5352,4304,5886,6811,7736,8659,9585,10509,11434,12358,13283,14208,15133,16057,16981,17906,18831,19755,20681,21605,22530
2476,APR,2457,5357,4308,5892,6817,7743,8668,9594,10519,11446,12371,13297,14222,15148,16073,16998,17924,18850,19775,20702,21627,22552
2477,MAY,2459,5362,4312,5898,6824,7751,8677,9604,10530,11457,12383,13310,14236,15163,16090,17015,17942,18869,19795,20723,21648,22575
2478,JUN,2462,5368,4316,5903,6831,7759,8685,9613,10540,11468,12395,13323,14251,15179,16106,17032,17960,18888,19815,20744,21670,22598
2479,JUL,2464,5373,4321,5909,6838,7766,8694,9623,10551,11480,12408,13336,14265,15194,16122,17049,17977,18907,19835,20764,21692,22621
2480,AUG,2466,5378,4325,5915,6844,7774,8702,9632,10561,11491,12420,13350,14279,15209,16138,17066,17995,18926,19855,20785,21714,22643
2481,SEP,2468,5384,4329,5921,6851,7782,8711,9642,10572,11503,12432,13363,14293,15224,16154,17083,18013,18945,19875,20806,21735,22666
2482,OCT,2471,5389,4333,5926,6858,7789,8719,9651,10582,11514,12445,13376,14307,15239,16170,17100,18031,18964,19894,20827,21757,22689
2483,NOV,2473,5394,4337,5932,6864,7797,8728,9661,10593,11525,12457,13390,14322,15254,16186,17117,18049,18983,19914,20848,21779,22711
2484,DEC,2475,5399,4341,5938,6871,7805,8737,9670,10603,11537,12469,13403,14336,15270,16202,17134,18067,19001,19934,20868,21801,22734
2485,JAN,2477,5405,4345,5944,6878,7812,8745,9680,10614,11548,12482,13416,14350,15285,16218,17151,18085,19020,19954,20889,21822,22757
2486,FEB,2479,5410,4349,5949,6884,7820,8754,9689,10624,11560,12494,13429,14364,15300,16234,17168,18103,19039,19974,20910,21844,22779
2487,MAR,2482,5415,4353,5955,6891,7827,8762,9699,10634,11571,12506,13443,14378,15315,16251,17185,18121,19058,19994,20931,21866,22802
2488,APR,2484,5421,4358,5961,6898,7835,8771,9708,10645,11582,12519,13456,14393,15330,16267,17202,18139,19077,20014,20952,21888,22825
2489,MAY,2486,5426,4362,5967,6904,7843,8779,9718,10655,11594,12531,13469,14407,15345,16283,17219,18157,19096,20033,20972,21909,22847
2490,JUN,2488,5431,4366,5972,6911,7850,8788,9727,10666,11605,12543,13482,14421,15361,16299,17236,18175,19115,20053,20993,21931,22870
2491,JUL,2491,5436,4370,5978,6918,7858,8797,9737,10676,11617,12556,13496,14435,15376,16315,17253,18193,19134,20073,21014,21953,22893
2492,AUG,2493,5442,4374,5984,6925,7866,8805,9746,10687,11628,12568,13509,14450,15391,16331,17270,18211,19153,20093,21035,21974,22915
2493,SEP,2495,5447,4378,5990,6931,7873,8814,9756,10697,11639,12580,13522,14464,15406,16347,17287,18229,19172,20113,21056,21996,22938
2494,OCT,2497,5452,4382,5995,6938,7881,8822,9765,10708,11651,12593,13536,14478,15421,16363,17304,18247,19191,20133,21076,22018,22961
2495,NOV,2500,5458,4386,6001,6945,7888,8831,9775,10718,11662,12605,13549,14492,15436,16379,17321,18265,19210,20153,21097,22040,22983
2496,DEC,2502,5463,4390,6007,6951,7896,8839,9784,10729,11674,12617,13562,14506,15451,16395,17338,18283,19228,20172,21118,22061,23006
2497,JAN,2504,5468,4394,6013,6958,7904,8848,9794,10739,11685,12630,13575,14521,15467,16411,17355,18301,19247,20192,21139,22083,23029
2498,FEB,2506,5473,4399,6018,6965,7911,8857,9804,10749,11696,12642,13589,14535,15482,16428,17372,18319,19266,20212,21160,22105,23051
2499,MAR,2508,5479,4403,6024,6971,7919,8865,9813,10760,11708,12654,13602,14549,15497,16444,17389,18337,19285,20232,21180,22127,23074
2500,APR,2511,5484,4407,6030,6978,7927,8874,9823,10770,11719,12667,13615,14563,15512,16460,17407,18355,19304,20252,21201,22148,23097
2501,MAY,2513,5489,4411,6036,6985,7934,8882,9832,10781,11731,12679,13629,14577,15527,16476,17424,18373,19323,20272,21222,22170,23120
2502,JUN,2515,5494,4415,6041,6991,7942,8891,9842,10791,11742,12691,13642,14592,15542,16492,17441,18391,19342,20292,21243,22192,23142
2503,JUL,2517,5500,4419,6047,6998,7950,8899,9851,10802,11753,12704,13655,14606,15558,16508,17458,18409,19361,20311,21264,22214,23165
2504,AUG,2520,5505,4423,6053,7005,7957,8908,9861,10812,11765,12716,13668,14620,15573,16524,17475,18427,19380,20331,21284,22235,23188
2505,SEP,2522,5510,4427,6059,7012,7965,8917,9870,10823,11776,12728,13682,14634,15588,16540,17492,18445,19399,20351,21305,22257,23210
2506,OCT,2524,5516,4431,6064,7018,7972,8925,9880,10833,11787,12741,13695,14649,15603,16556,17509,18463,19418,20371,21326,22279,23233
2507,NOV,2526,5521,4436,6070,7025,7980,8934,9889,10844,11799,12753,13708,14663,15618,16572,17526,18481,19437,20391,21347,22301,23256
2508,DEC,2528,5526,4440,6076,7032,7988,8942,9899,10854,11810,12765,13721,14677,15633,16589,17543,18499,19456,20411,21368,22322,23278
2509,JAN,2531,5531,4444,6082,7038,7995,8951,9908,10864,11822,12778,13735,14691,15649,16605,17560,18517,19474,20431,21388,22344,23301
2510,FEB,2533,5537,4448,6087,7045,8003,8959,9918,10875,11833,12790,13748,14705,15664,16621,17577,18535,19493,20450,21409,22366,23324
2511,MAR,2535,5542,4452,6093,7052,8011,8968,9927,10885,11844,12802,13761,14720,15679,16637,17594,18553,19512,20470,21430,22388,23346
2512,APR,2537,5547,4456,6099,7058,8018,8977,9937,10896,11856,12815,13775,14734,15694,16653,17611,18571,19531,20490,21451,22409,23369
2513,MAY,2540,5553,4460,6105,7065,8026,8985,9946,10906,11867,12827,13788,14748,15709,16669,17628,18589,19550,20510,21472,22431,23392
2514,JUN,2542,5558,4464,6110,7072,8034,8994,9956,10917,11879,12839,13801,14762,15724,16685,17645,18607,19569,20530,21492,22453,23414
2515,JUL,2544,5563,4468,6116,7078,8041,9002,9965,10927,11890,12852,13814,14776,15739,16701,17662,18625,19588,20550,21513,22474,23437
2516,AUG,2546,5568,4472,6122,7085,8049,9011,9975,10938,11901,12864,13828,14791,15755,16717,17679,18643,19607,20570,21534,22496,23460
2517,SEP,2548,5574,4477,6128,7092,8056,9019,9984,10948,11913,12876,13841,14805,15770,16733,17696,18661,19626,20589,21555,22518,23482
2518,OCT,2551,5579,4481,6133,7099,8064,9028,9994,10959,11924,12889,13854,14819,15785,16750,17713,18679,19645,20609,21576,22540,23505
2519,NOV,2553,5584,4485,6139,7105,8072,9037,10003,10969,11936,12901,13867,14833,15800,16766,17730,18697,19664,20629,21596,22561,23528
2520,DEC,2555,5590,4489,6145,7112,8079,9045,10013,10979,11947,12913,13881,14848,15815,16782,17747,18715,19683,20649,21617,22583,23550
2521,JAN,2557,5595,4493,6151,7119,8087,9054,10022,10990,11958,12926,13894,14862,15830,16798,17764,18733,19701,20669,21638,22605,23573
2522,FEB,2560,5600,4497,6156,7125,8095,9062,10032,11000,11970,12938,13907,14876,15846,16814,17781,18750,19720,20689,21659,22627,23596
2523,MAR,2562,5605,4501,6162,7132,8102,9071,10041,11011,11981,12950,13921,14890,15861,16830,17798,18768,19739,20709,21680,22648,23618
2524,APR,2564,5611,4505,6168,7139,8110,9079,10051,11021,11993,12963,13934,14904,15876,16846,17815,18786,19758,20729,21700,22670,23641
2525,MAY,2566,5616,4509,6174,7145,8117,9088,10060,11032,12004,12975,13947,14919,15891,16862,17832,18804,19777,20748,21721,22692,23664
2526,JUN,2568,5621,4514,6179,7152,8125,9097,10070,11042,12015,12987,13960,14933,15906,16878,17849,18822,19796,20768,21742,22714,23687
2527,JUL,2571,5626,4518,6185,7159,8133,9105,10079,11053,12027,13000,13974,14947,15921,16894,17866,18840,19815,20788,21763,22735,23709
2528,AUG,2573,5632,4522,6191,7165,8140,9114,10089,11063,12038,13012,13987,14961,15936,16911,17884,18858,19834,20808,21784,22757,23732
2529,SEP,2575,5637,4526,6197,7172,8148,9122,10098,11073,12050,13024,14000,14975,15952,16927,17901,18876,19853,20828,21804,22779,23755
2530,OCT,2577,5642,4530,6202,7179,8156,9131,10108,11084,12061,13037,14013,14990,15967,16943,17918,18894,19872,20848,21825,22801,23777
2531,NOV,2580,5648,4534,6208,7186,8163,9139,10117,11094,12072,13049,14027,15004,15982,16959,17935,18912,19891,20868,21846,22822,23800
2532,DEC,2582,5653,4538,6214,7192,8171,9148,10127,11105,12084,13061,14040,15018,15997,16975,17952,18930,19910,20887,21867,22844,23823
2533,JAN,2584,5658,4542,6220,7199,8179,9157,10136,11115,12095,13074,14053,15032,16012,16991,17969,18948,19928,20907,21888,22866,23845
2534,FEB,2586,5663,4546,6225,7206,8186,9165,10146,11126,12107,13086,14067,15047,16027,17007,17986,18966,19947,20927,21908,22888,23868
2535,MAR,2588,5669,4550,6231,7212,8194,9174,10155,11136,12118,13098,14080,15061,16043,17023,18003,18984,19966,20947,21929,22909,23891
2536,APR,2591,5674,4555,6237,7219,8201,9182,10165,11147,12129,13111,14093,15075,16058,17039,18020,19002,19985,20967,21950,22931,23913
2537,MAY,2593,5679,4559,6243,7226,8209,9191,10175,11157,12141,13123,14106,15089,16073,17055,18037,19020,20004,20987,21971,22953,23936
2538,JUN,2595,5685,4563,6248,7232,8217,9200,10184,11168,12152,13135,14120,15103,16088,17071,18054,19038,20023,21007,21992,22975,23959
2539,JUL,2597,5690,4567,6254,7239,8224,9208,10194,11178,12163,13148,14133,15118,16103,17088,18071,19056,20042,21026,22012,22996,23981
2540,AUG,2600,5695,4571,6260,7246,8232,9217,10203,11188,12175,13160,14146,15132,16118,17104,18088,19074,20061,21046,22033,23018,24004
2541,SEP,2602,5700,4575,6266,7252,8240,9225,10213,11199,12186,13172,14160,15146,16134,17120,18105,19092,20080,21066,22054,23040,24027
2542,OCT,2604,5706,4579,6271,7259,8247,9234,10222,11209,12198,13185,14173,15160,16149,17136,18122,19110,20099,21086,22075,23061,24049
2543,NOV,2606,5711,4583,6277,7266,8255,9242,10232,11220,12209,13197,14186,15175,16164,17152,18139,19128,20118,21106,22096,23083,24072
2544,DEC,2609,5716,4587,6283,7272,8262,9251,10241,11230,12220,13209,14199,15189,16179,17168,18156,19146,20137,21126,22116,23105,24095
2545,JAN,2611,5722,4592,6289,7279,8270,9260,10251,11241,12232,13222,14213,15203,16194,17184,18173,19164,20155,21146,22137,23127,24117
2546,FEB,2613,5727,4596,6294,7286,8278,9268,10260,11251,12243,13234,14226,15217,16209,17200,18190,19182,20174,21165,22158,23148,24140
2547,MAR,2615,5732,4600,6300,7293,8285,9277,10270,11262,12255,13246,14239,15231,16224,17216,18207,19200,20193,21185,22179,23170,24163
2548,APR,2617,5737,4604,6306,7299,8293,9285,10279,11272,12266,13259,14252,15246,16240,17232,18224,19218,20212,21205,22200,23192,24185
2549,MAY,2620,5743,4608,6312,7306,8301,9294,10289,11283,12277,13271,14266,15260,16255,17249,18241,19236,20231,21225,22220,23214,24208
2550,JUN,2622,5748,4612,6317,7313,8308,9302,10298,11293,12289,13283,14279,15274,16270,17265,18258,19254,20250,21245,22241,23235,24231
2551,JUL,2624,5753,4616,6323,7319,8316,9311,10308,11303,12300,13296,14292,15288,16285,17281,18275,19272,20269,21265,22262,23257,24254
2552,AUG,2626,5758,4620,6329,7326,8324,9320,10317,11314,12312,13308,14306,15302,16300,17297,18292,19290,20288,21285,22283,23279,24276
2553,SEP,2629,5764,4624,6335,7333,8331,9328,10327,11324,12323,13320,14319,15317,16315,17313,18309,19308,20307,21304,22304,23301,24299
2554,OCT,2631,5769,4628,6340,7339,8339,9337,10336,11335,12334,13333,14332,15331,16331,17329,18326,19326,20326,21324,22324,23322,24322
2555,NOV,2633,5774,4633,6346,7346,8346,9345,10346,11345,12346,13345,14345,15345,16346,17345,18343,19344,20345,21344,22345,23344,24344
2556,DEC,2635,5780,4637,6352,7353,8354,9354,10355,11356,12357,13357,14359,15359,16361,17361,18361,19362,20364,21364,22366,23366,24367
2557,JAN,2637,5785,4641,6358,7359,8362,9362,10365,11366,12369,13370,14372,15374,16376,17377,18378,19380,20383,21384,22387,23388,24390
2558,FEB,2640,5790,4645,6363,7366,8369,9371,10374,11377,12380,13382,14385,15388,16391,17393,18395,19398,20401,21404,22408,23409,24412
2559,MAR,2642,5795,4649,6369,7373,8377,9380,10384,11387,12391,13394,14398,15402,16406,17410,18412,19416,20420,21424,22428,23431,24435
2560,APR,2644,5801,4653,6375,7380,8385,9388,10393,11398,12403,13407,14412,15416,16422,17426,18429,19434,20439,21443,22449,23453,24458
2561,MAY,2646,5806,4657,6381,7386,8392,9397,10403,11408,12414,13419,14425,15430,16437,17442,18446,19452,20458,21463,22470,23475,24480
2562,JUN,2649,5811,4661,6386,7393,8400,9405,10412,11418,12426,13431,14438,15445,16452,17458,18463,19470,20477,21483,22491,23496,24503
2563,JUL,2651,5817,4665,6392,7400,8407,9414,10422,11429,12437,13444,14452,15459,16467,17474,18480,19488,20496,21503,22512,23518,24526
2564,AUG,2653,5822,4670,6398,7406,8415,9422,10431,11439,12448,13456,14465,15473,16482,17490,18497,19506,20515,21523,22532,23540,24548
2565,SEP,2655,5827,4674,6404,7413,8423,9431,10441,11450,12460,13468,14478,15487,16497,17506,18514,19523,20534,21543,22553,23561,24571
2566,OCT,2657,5832,4678,6409,7420,8430,9440,10450,11460,12471,13481,14491,15501,16512,17522,18531,19541,20553,21563,22574,23583,24594
2567,NOV,2660,5838,4682,6415,7426,8438,9448,10460,11471,12483,13493,14505,15516,16528,17538,18548,19559,20572,21582,22595,23605,24616
2568,DEC,2662,5843,4686,6421,7433,8446,9457,10469,11481,12494,13505,14518,15530,16543,17554,18565,19577,20591,21602,22616,23627,24639
2569,JAN,2664,5848,4690,6427,7440,8453,9465,10479,11492,12505,13518,14531,15544,16558,17570,18582,19595,20610,21622,22636,23648,24662
2570,FEB,2666,5854,4694,6432,7446,8461,9474,10488,11502,12517,13530,14544,15558,16573,17587,18599,19613,20628,21642,22657,23670,24684
2571,MAR,2669,5859,4698,6438,7453,8469,9482,10498,11513,12528,13542,14558,15573,16588,17603,18616,19631,20647,21662,22678,23692,24707
2572,APR,2671,5864,4702,6444,7460,8476,9491,10507,11523,12539,13555,14571,15587,16603,17619,18633,19649,20666,21682,22699,23714,24730
2573,MAY,2673,5869,4706,6450,7467,8484,9500,10517,11533,12551,13567,14584,15601,16619,17635,18650,19667,20685,21702,22720,23735,24753
2574,JUN,2675,5875,4711,6455,7473,8491,9508,10526,11544,12562,13579,14598,15615,16634,17651,18667,19685,20704,21721,22740,23757,24775
2575,JUL,2677,5880,4715,6461,7480,8499,9517,10536,11554,12574,13592,14611,15629,16649,17667,18684,19703,20723,21741,22761,23779,24798
2576,AUG,2680,5885,4719,6467,7487,8507,9525,10546,11565,12585,13604,14624,15644,16664,17683,18701,19721,20742,21761,22782,23801,24821
2577,SEP,2682,5890,4723,6473,7493,8514,9534,10555,11575,12596,13616,14637,15658,16679,17699,18718,19739,20761,21781,22803,23822,24843
2578,OCT,2684,5896,4727,6478,7500,8522,9542,10565,11586,12608,13629,14651,15672,16694,17715,18735,19757,20780,21801,22824,23844,24866
2579,NOV,2686,5901,4731,6484,7507,8530,9551,10574,11596,12619,13641,14664,15686,16709,17731,18752,19775,20799,21821,22844,23866,24889
2580,DEC,2689,5906,4735,6490,7513,8537,9560,10584,11607,12631,13653,14677,15700,16725,17748,18769,19793,20818,21841,22865,23888,24911
2581,JAN,2691,5912,4739,6496,7520,8545,9568,10593,11617,12642,13666,14691,15715,16740,17764,18786,19811,20837,21860,22886,23909,24934
2582,FEB,2693,5917,4743,6501,7527,8553,9577,10603,11628,12653,13678,14704,15729,16755,17780,18803,19829,20855,21880,22907,23931,24957
2583,MAR,2695,5922,4748,6507,7533,8560,9585,10612,11638,12665,13690,14717,15743,16770,17796,18820,19847,20874,21900,22928,23953,24979
2584,APR,2697,5927,4752,6513,7540,8568,9594,10622,11648,12676,13703,14730,15757,16785,17812,18838,19865,20893,21920,22948,23975,25002
2585,MAY,2700,5933,4756,6519,7547,8575,9602,10631,11659,12688,13715,14744,15772,16800,17828,18855,19883,20912,21940,22969,23996,25025
2586,JUN,2702,5938,4760,6524,7554,8583,9611,10641,11669,12699,13727,14757,15786,16816,17844,18872,19901,20931,21960,22990,24018,25047
2587,JUL,2704,5943,4764,6530,7560,8591,9620,10650,11680,12710,13740,14770,15800,16831,17860,18889,19919,20950,21980,23011,24040,25070
2588,AUG,2706,5949,4768,6536,7567,8598,9628,10660,11690,12722,13752,14783,15814,16846,17876,18906,19937,20969,21999,23032,24061,25093
2589,SEP,2709,5954,4772,6542,7574,8606,9637,10669,11701,12733,13764,14797,15828,16861,17892,18923,19955,20988,22019,23052,24083,25115
2590,OCT,2711,5959,4776,6547,7580,8614,9645,10679,11711,12745,13777,14810,15843,16876,17909,18940,19973,21007,22039,23073,24105,25138
2591,NOV,2713,5964,4780,6553,7587,8621,9654,10688,11722,12756,13789,14823,15857,16891,17925,18957,19991,21026,22059,23094,24127,25161
2592,DEC,2715,5970,4784,6559,7594,8629,9662,10698,11732,12767,13801,14837,15871,16907,17941,18974,20009,21045,22079,23115,24148,25183
2593,JAN,2717,5975,4789,6565,7600,8636,9671,10707,11742,12779,13814,14850,15885,16922,17957,18991,20027,21064,22099,23136,24170,25206
2594,FEB,2720,5980,4793,6570,7607,8644,9680,10717,11753,12790,13826,14863,15900,16937,17973,19008,20045,21082,22119,23156,24192,25229
2595,MAR,2722,5986,4797,6576,7614,8652,9688,10726,11763,12802,13838,14876,15914,16952,17989,19025,20063,21101,22138,23177,24214,25251
2596,APR,2724,5991,4801,6582,7620,8659,9697,10736,11774,12813,13851,14890,15928,16967,18005,19042,20081,21120,22158,23198,24235,25274
2597,MAY,2726,5996,4805,6588,7627,8667,9705,10745,11784,12824,13863,14903,15942,16982,18021,19059,20099,21139,22178,23219,24257,25297
2598,JUN,2729,6001,4809,6593,7634,8675,9714,10755,11795,12836,13875,14916,15956,16997,18037,19076,20117,21158,22198,23240,24279,25320
2599,JUL,2731,6007,4813,6599,7641,8682,9722,10764,11805,12847,13888,14929,15971,17013,18053,19093,20135,21177,22218,23260,24301,25342
2600,AUG,2733,6012,4817,6605,7647,8690,9731,10774,11816,12859,13900,14943,15985,17028,18069,19110,20153,21196,22238,23281,24322,25365
2601,SEP,2735,6017,4821,6611,7654,8698,9740,10783,11826,12870,13912,14956,15999,17043,18086,19127,20171,21215,22258,23302,24344,25388
2602,OCT,2738,6022,4826,6616,7661,8705,9748,10793,11837,12881,13925,14969,16013,17058,18102,19144,20189,21234,22277,23323,24366,25410
2603,NOV,2740,6028,4830,6622,7667,8713,9757,10802,11847,12893,13937,14983,16027,17073,18118,19161,20207,21253,22297,23344,24388,25433
2604,DEC,2742,6033,4834,6628,7674,8720,9765,10812,11857,12904,13949,14996,16042,17088,18134,19178,20225,21272,22317,23364,24409,25456
2605,JAN,2744,6038,4838,6634,7681,8728,9774,10821,11868,12916,13962,15009,16056,17104,18150,19195,20243,21291,22337,23385,24431,25478
2606,FEB,2746,6044,4842,6639,7687,8736,9782,10831,11878,12927,13974,15022,16070,17119,18166,19212,20261,21310,22357,23406,24453,25501
2607,MAR,2749,6049,4846,6645,7694,8743,9791,10840,11889,12938,13986,15036,16084,17134,18182,19229,20279,21328,22377,23427,24475,25524
2608,APR,2751,6054,4850,6651,7701,8751,9800,10850,11899,12950,13999,15049,16099,17149,18198,19246,20296,21347,22397,23448,24496,25546
2609,MAY,2753,6059,4854,6657,7707,8759,9808,10859,11910,12961,14011,15062,16113,17164,18214,19263,20314,21366,22416,23468,24518,25569
2610,JUN,2755,6065,4858,6662,7714,8766,9817,10869,11920,12972,14023,15075,16127,17179,18230,19280,20332,21385,22436,23489,24540,25592
2611,JUL,2758,6070,4862,6668,7721,8774,9825,10878,11931,12984,14036,15089,16141,17194,18247,19297,20350,21404,22456,23510,24562,25614
2612,AUG,2760,6075,4867,6674,7727,8781,9834,10888,11941,12995,14048,15102,16155,17210,18263,19315,20368,21423,22476,23531,24583,25637
2613,SEP,2762,6081,4871,6680,7734,8789,9842,10897,11952,13007,14060,15115,16170,17225,18279,19332,20386,21442,22496,23552,24605,25660
2614,OCT,2764,6086,4875,6685,7741,8797,9851,10907,11962,13018,14073,15129,16184,17240,18295,19349,20404,21461,22516,23572,24627,25682
2615,NOV,2766,6091,4879,6691,7748,8804,9860,10917,11972,13029,14085,15142,16198,17255,18311,19366,20422,21480,22536,23593,24648,25705
2616,DEC,2769,6096,4883,6697,7754,8812,9868,10926,11983,13041,14097,15155,16212,17270,18327,19383,20440,21499,22555,23614,24670,25728
2617,JAN,2771,6102,4887,6703,7761,8820,9877,10936,11993,13052,14110,15168,16226,17285,18343,19400,20458,21518,22575,23635,24692,25750
2618,FEB,2773,6107,4891,6708,7768,8827,9885,10945,12004,13064,14122,15182,16241,17301,18359,19417,20476,21537,22595,23656,24714,25773
2619,MAR,2775,6112,4895,6714,7774,8835,9894,10955,12014,13075,14134,15195,16255,17316,18375,19434,20494,21555,22615,23676,24735,25796
2620,APR,2778,6118,4899,6720,7781,8843,9902,10964,12025,13086,14147,15208,16269,17331,18391,19451,20512,21574,22635,23697,24757,25818
